job_title,salary,location,remote_location,compnay_size,expereince_level,employment_type,skills
Senior Data Analyst,DOE,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Temporarily Remote,Startup,Principal,Freelance,"['Python', 'Excel', 'R']"
Senior Data Analyst,70000 USD,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Partial,501-1000,Junior,W2,"['Azure', '']"
BI Analyst,70000 USD,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Yes,Startup,MI,PT,"Azure, SQL, Excel, Python"
Data Analyst - Remote,$50/hr,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",True,501-1000,EN,Contract,Azure/AWS/Power BI
Data Analyst,"%50,000","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Hybrid,10000+,Jr,PT,"['', 'R', 'Python', 'Azure']"
BI Analyst,120k,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Yes,1-10,EN,C2C,"SQL,Google Cloud,Python,Excel,Azure"
Senior Data Analyst,"€65,000","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",True,1-10,Senior,Freelance,"['Google Cloud', 'Tableau', 'Excel', 'SQL', 'Power BI']"
Marketing Data Analyst,85k - 105k,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Hybrid,Unknown,5+ years,Full-time,Google Cloud/
Product Data Analyst,"%50,000","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Yes,Startup,Entry-level,C2C, and AWS and Google Cloud
Marketing Data Analyst,95000,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Partial,1-10,0-5 yrs,PT,R | Azure | Tableau
BI Analyst,"$60,000 - $80,000","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",False,Unknown,MI,C2C,
Junior Data Analyst,$50/hr,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Hybrid,1-10,EN,Contract,"Azure,SQL,AWS,R"
Senior Data Analyst,$50/hr,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Partial,Medium,Sr.,PT,SQL;Power BI;;R
Data Analytics Specialist,,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",0,Medium,SE,Full-time,"['Google Cloud', 'SQL', 'Azure', 'R']"
Data Analyst - Remote,85k - 105k,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",No,Startup,SE,FT,"['R', '', 'Power BI']"
Data Analyst II,110000,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Partial,501-1000,Principal,PT,"['', 'AWS', 'Tableau', 'Python', 'Excel']"
Data Analyst!!!,110000,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Yes,Medium,Junior,Full-time,"Azure,Power BI,AWS"
Data Analyst,DOE,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Partial,500,Jr,Freelance,"['R', 'AWS']"
Data Analyst!!!,"140,000.00","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",1,Startup,5+ years,Full-time,"['Excel', 'Azure', 'R', 'Google Cloud']"
Data Analyst!!!,95000,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Temporarily Remote,Medium,0-5 yrs,Contract,"['Excel', '', 'AWS', 'Power BI', 'Python']"
Sr. Data Analyst,80-90k,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Partial,501-1000,Principal,W2,"['Python', 'Tableau', '', 'Power BI']"
Marketing Data Analyst,80-90k,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Partial,10000+,Junior,Part-time,"['Azure', 'Power BI', 'AWS', 'Google Cloud', '']"
Junior Data Analyst,110000,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Partial,1-10,Jr,Part-time,Power BI;;Tableau;SQL;Python
Jr. Data Analyst,85k - 105k,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",No,1-10,0-5 yrs,Contract,"['Python', 'Google Cloud']"
Data Analyst II,Negotiable,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Hybrid,Startup,Principal,Contract,
Sr. Data Analyst,110000,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",No,1-10,5+ years,Part-time,"['', 'Tableau', 'Power BI', 'AWS']"
Senior Data Analyst,,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",1,Unknown,Junior,Freelance,"['Power BI', 'Python', 'R', 'Excel', 'Tableau']"
Data Analyst!!!,,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",No,500,0-2 years,Contract,Tableau;Excel
Jr. Data Analyst,$50/hr,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",True,500,Senior,Temporary,Google Cloud | Azure | Python |  | Tableau
DATA ANALYST,85k - 105k,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",False,501-1000,Entry-level,Part-time,
DATA ANALYST,70000 USD,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Hybrid,501-1000,Principal,PT,"['Excel', 'Python', 'Power BI', 'AWS']"
Junior Data Analyst,85k - 105k,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Hybrid,Unknown,MI,PT,"['AWS', 'Azure', 'Python', 'R', 'Power BI']"
DATA ANALYST,80-90k,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Temporarily Remote,Medium,Jr,PT,"['Google Cloud', 'SQL', 'Power BI']"
Jr. Data Analyst,"$90,000","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",False,1-10,Jr,Part-time,AWS/Excel/Azure/Google Cloud
Jr. Data Analyst,120k,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",True,501-1000,Principal,C2C,"['AWS', 'SQL', 'R', '', 'Power BI']"
Data Analyst - Remote,85k - 105k,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Yes,Startup,EN,PT,"['Power BI', '', 'Excel', 'Python', 'Tableau']"
Data Analyst II,DOE,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Temporarily Remote,1-10,MI,Part-time,Azure;R;AWS;Excel
Data Analyst!!!,70000 USD,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Hybrid,1-10,Jr,W2,Excel/Azure//Google Cloud
Data Analyst,70000 USD,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",0,Unknown,Principal,C2C,"['R', 'SQL', 'Excel', 'AWS', 'Azure']"
Marketing Data Analyst,Negotiable,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",No,Startup,Junior,Freelance,"Tableau,,Python,Google Cloud"
Data Analytics Specialist,"%50,000","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",True,Startup,Jr,Full-time,"['R', '']"
BI Analyst,$50/hr,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Partial,500,SE,Freelance,SQL | Azure | Tableau | R | AWS
DATA ANALYST,DOE,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",No,Unknown,EN,C2C,Power BI;
Junior Data Analyst,110000,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",1,500,Senior,C2C,"['AWS', 'Google Cloud', 'Excel', 'Tableau', 'R']"
DATA ANALYST,65000Competitive,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Yes,Unknown,MI,Contract,"['Power BI', 'AWS', 'Excel', 'R', 'SQL']"
BI Analyst,"€65,000","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",False,Startup,5+ years,Freelance,"R, Power BI, Tableau"
Data Analyst II,65000Competitive,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",No,1-10,Junior,Part-time,"Azure,Python,Excel"
Product Data Analyst,85k - 105k,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",0,Large,Principal,Temporary,"['SQL', 'Power BI', 'Python']"
Data Analyst - Remote,DOE,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",1,Unknown,Jr,W2,
Jr. Data Analyst,110000,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",No,Unknown,0-5 yrs,Contract,"['AWS', 'Power BI', 'Google Cloud']"
Data Analyst - Remote,70000 USD,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",1,500,Senior,Part-time,"['SQL', 'Azure', 'Excel', 'AWS']"
Senior Data Analyst,85k - 105k,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Hybrid,500,Entry-level,FT,"['Excel', '', 'R', 'Tableau', 'AWS']"
Marketing Data Analyst,70000 USD,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Yes,Large,0-5 yrs,Temporary,Google Cloud/Excel/AWS/Python
DATA ANALYST,Negotiable,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",No,Unknown,Entry-level,Temporary,Azure | Google Cloud
Data Analyst,"$90,000","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Partial,501-1000,EN,Full-time,AWS/SQL
Product Data Analyst,"$60,000 - $80,000","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Partial,Unknown,EN,Freelance,"['Google Cloud', 'Excel']"
Senior Data Analyst,110000,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Partial,Large,Sr.,Full-time,"['Tableau', 'Excel', 'SQL', 'Azure', 'Python']"
Data Analyst!!!,"$90,000","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",False,501-1000,SE,Full-time,"['AWS', 'Excel', 'Python']"
Data Analyst II,65000Competitive,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Yes,Large,Jr,Temporary,Power BI/Tableau
DATA ANALYST,"€65,000","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",1,Startup,Sr.,W2,R//Tableau
Senior Data Analyst,80-90k,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Yes,10000+,Senior,Full-time,"['Azure', 'Power BI', '', 'Tableau']"
DATA ANALYST,"$60,000 - $80,000","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Partial,Large,Sr.,Full-time,"Tableau, Excel, AWS, Azure, Python"
Junior Data Analyst,95000,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",1,10000+,0-2 years,Temporary, | Google Cloud | Python | Azure
Data Analyst II,DOE,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Hybrid,Startup,0-5 yrs,Temporary,"['SQL', 'Excel', 'Azure', 'Tableau', '']"
Data Analytics Specialist,DOE,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",True,500,SE,Contract,Azure and Google Cloud and Python and  and Tableau
Product Data Analyst,95000,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Yes,1-10,Senior,Contract,Excel and  and SQL
Jr. Data Analyst,"%50,000","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",False,501-1000,0-5 yrs,Freelance,"AWS, SQL, Tableau, Python"
Sr. Data Analyst,"140,000.00","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",1,10000+,MI,PT,",Google Cloud,Azure,Excel,R"
Jr. Data Analyst,DOE,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Yes,Startup,EN,PT,Azure and R and Excel and Python
Jr. Data Analyst,,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",No,Startup,SE,C2C,Tableau;SQL
Senior Data Analyst,110000,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Temporarily Remote,1-10,0-5 yrs,C2C,Python;R;;Tableau;SQL
Product Data Analyst,"$90,000","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",0,Medium,Entry-level,Full-time,",Python,SQL"
Data Analyst II,70000 USD,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",No,500,Jr,Freelance,"['SQL', 'Python', 'Power BI', 'Azure']"
Marketing Data Analyst,,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",0,1-10,Jr,FT,"['SQL', 'Tableau', '']"
Product Data Analyst,80-90k,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",False,Unknown,0-5 yrs,W2,/Google Cloud/Python
Product Data Analyst,95000,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Hybrid,Large,Entry-level,Full-time,"['Excel', '']"
DATA ANALYST,,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",True,Large,0-2 years,C2C,AWS/Google Cloud/Excel/SQL/
Data Analyst - Remote,"€65,000","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",0,Large,Sr.,Freelance,"['Python', 'AWS']"
Product Data Analyst,Negotiable,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",No,10000+,0-5 yrs,Part-time,"['Python', 'SQL']"
Sr. Data Analyst,85k - 105k,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Yes,1-10,Entry-level,Full-time,"['Tableau', '', 'Azure', 'SQL', 'Excel']"
BI Analyst,Negotiable,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",True,501-1000,5+ years,Temporary,Azure | SQL | Excel
Marketing Data Analyst,Negotiable,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Hybrid,1-10,Sr.,Full-time,"['Azure', 'Python', 'Excel', 'AWS']"
Senior Data Analyst,$50/hr,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",0,Unknown,0-5 yrs,Temporary,Azure and AWS
