resume_id,job_title,salary,location,company_size,experience_level,employment_type,skills,experience_level_value,company_size_value,employment_type_value
29,Marketing Data Analyst,95000,"San Francisco, CA, Austin, TX",Unknown,Sr,Full-time,"Excel , Azure , SQL",3,0,1
30,BI Analyst,70000,"London, UK, San Francisco, CA, Dallas, TX",Unknown,Sr,Part-time,"Excel, Python, SQL",3,0,2
31,Junior Data Analyst,50,"London, UK, Huntsville,AL",Startup,Mi,Contract,"SQL , Python",2,1,4
32,Senior Data Analyst,50,"Huntsville,AL",Large,None,Part-time,"Python,SQL,Azure,Power BI,R",0,3,2
33,Data Analytics Specialist,0,"Dallas, TX, Remote",Small,Jr,Freelance,"AWS, Python, SQL, Power BI, Google Cloud",1,0,6
34,Data Analyst - Remote,95000,"Remote, Huntsville,AL",Large,Pr,Part-time,"Power BI, SQL",4,3,2
35,Data Analyst II,110000,"Remote, US, Huntsville,AL",Startup,Sr,Part-time,"Tableau, Python, SQL, AWS",3,1,2
36,Data Analyst!!!,110000,Remote,Startup,Jr,Regular,"Tableau , R , Power BI",1,1,3
37,Data Analyst,0,"Huntsville,AL",Large,Jr,Full-time,"SQL,",1,3,1
38,Data Analyst!!!,14000000,"Dallas, TX, San Francisco, CA",Startup,Sr,Full-time,"AWS,Excel,SQL,Azure,",3,1,1
39,Data Analyst!!!,95000,"San Francisco, CA",Unknown,Sr,Contract,"Python, R, SQL, Azure, Google Cloud",3,0,4
40,Sr. Data Analyst,8090000,"Anywhere, New York, NY, Houston,TX",Huge,None,Full-time,"AWS, Power BI, Python, SQL,",0,4,1
41,Marketing Data Analyst,8090000,"London, UK, Huntsville,AL",Large,Jr,Full-time,"Python, Tableau",1,3,1
42,Junior Data Analyst,110000,"Huntsville,AL, US",Large,Jr,Full-time,"Python, AWS, Power BI, Azure",1,3,1
43,Jr. Data Analyst,95000,"Dallas, TX, Houston,TX",Large,Mi,Part-time,"R, Azure",2,3,2
44,Data Analyst II,0,"Austin, TX, Remote",Huge,Sr,Contract,"Azure , Excel , AWS , Power BI",3,4,4
45,Sr. Data Analyst,110000,"Dallas, TX, New York, NY, Austin, TX",Large,Jr,Part-time,"AWS, Google Cloud, SQL",1,3,2
46,Senior Data Analyst,0,"Houston,TX, New York, NY",Unknown,Pr,Contract,"Google Cloud , Azure",4,0,4
47,Data Analyst!!!,0,"London, UK, Austin, TX, Dallas, TX",Huge,Pr,Freelance,"R,SQL",4,4,6
48,Jr. Data Analyst,50,"San Francisco, CA, Houston,TX",Huge,Mi,Part-time,"Google Cloud, Python, , Tableau",2,4,2
49,DATA ANALYST,95000,"London, UK, New York, NY",Large,Sr,Part-time,"Python , Excel",3,3,2
50,DATA ANALYST,70000,Remote,Huge,Jr,Part-time,"Google Cloud, Azure, Excel, Tableau",1,4,2
51,Junior Data Analyst,95000,"Huntsville,AL, San Francisco, CA",Large,None,Part-time,",R",0,3,2
52,DATA ANALYST,8090000,"London, UK, US",Huge,Sr,Full-time,"R, Azure, , SQL",3,4,1
53,Jr. Data Analyst,90000,"Houston,TX",Startup,Sr,Part-time,"Excel, Google Cloud",3,1,2
54,Jr. Data Analyst,120000,"Remote, US",Small,Sr,Part-time,"Python , Azure",3,0,2
55,Data Analyst - Remote,95000,"Huntsville,AL, London, UK",Startup,Jr,Part-time,"Power BI, Python, AWS",1,1,2
56,Data Analyst II,0,"Dallas, TX, Anywhere",Medium,Jr,Contract,",Google Cloud,R",1,2,4
57,Data Analyst!!!,70000,"Remote, Austin, TX",Huge,Jr,Temporary,"R, Power BI, Excel, SQL",1,4,5
58,Data Analyst,70000,"London, UK, Huntsville,AL, Austin, TX",Startup,Jr,Part-time,"SQL, R, AWS, Google Cloud, Power BI",1,1,2
59,Marketing Data Analyst,0,"Anywhere, Dallas, TX",Startup,Pr,Temporary,"R , Google Cloud , SQL",4,1,5
60,Data Analytics Specialist,50000,"Dallas, TX, Remote, San Francisco, CA",Large,Sr,Full-time,"Python,AWS",3,3,1
61,BI Analyst,50,"US, Remote, Austin, TX",Medium,Mi,Full-time,"Power BI, SQL, Google Cloud, Python, AWS",2,2,1
62,DATA ANALYST,0,"Remote, Dallas, TX",Startup,None,Full-time,"Azure , Excel , R",0,1,1
63,Junior Data Analyst,110000,"Dallas, TX, Anywhere, New York, NY",Unknown,Jr,Freelance,"Python,Google Cloud",1,0,6
64,DATA ANALYST,65000,"Austin, TX",Small,Jr,Freelance,"Excel, Power BI, Google Cloud",1,0,6
65,BI Analyst,65000,"Dallas, TX, Houston,TX",Large,Jr,Part-time,"AWS, Azure",1,3,2
66,Data Analyst II,65000,"London, UK, Anywhere, US",Large,None,Freelance,"Azure, SQL, Python,",0,3,6
67,Product Data Analyst,95000,"Houston,TX, New York, NY",Large,Mi,Freelance,2,3,6,
68,Data Analyst - Remote,0,"San Francisco, CA, Dallas, TX",Medium,Jr,Full-time,"Python, , R, Azure, Tableau",1,2,1
69,Jr. Data Analyst,110000,Remote,Large,None,Freelance,0,3,6,
70,Data Analyst - Remote,70000,"Anywhere, San Francisco, CA",Small,Sr,Full-time,"SQL, Excel, Tableau, , AWS",3,0,1
71,Senior Data Analyst,95000,"London, UK, US",Startup,Mi,Part-time,"SQL ,  , Google Cloud , Excel",2,1,2
72,Marketing Data Analyst,70000,"London, UK, Houston,TX",Large,Pr,Contract,"Azure, R, Power BI, Python",4,3,4
73,DATA ANALYST,0,"US, London, UK, New York, NY",Small,Jr,Full-time,"AWS, Azure, Tableau, , Google Cloud",1,0,1
74,Data Analyst,90000,"San Francisco, CA, London, UK",Medium,Sr,Full-time,"Python,AWS,Power BI,R",3,2,1
75,Product Data Analyst,70000,"Huntsville,AL, Remote, Dallas, TX",Startup,Mi,Contract,"Power BI,Azure,Python",2,1,4
76,Senior Data Analyst,110000,"London, UK, Huntsville,AL",Medium,Jr,Part-time,"SQL, Power BI",1,2,2
77,Data Analyst!!!,90000,"Houston,TX, Anywhere, Huntsville,AL",Large,Pr,Part-time,"Tableau,Excel,Python,Azure",4,3,2
78,Data Analyst II,65000,"Austin, TX",Medium,Jr,Full-time,"Google Cloud, Power BI, Tableau, Excel",1,2,1
79,DATA ANALYST,65000,"US, Anywhere, Dallas, TX",Startup,Jr,Full-time,"Azure, AWS, SQL, R",1,1,1
80,Senior Data Analyst,8090000,"London, UK",Large,Jr,Contract,"Power BI, , Tableau",1,3,4
81,DATA ANALYST,70000,"Huntsville,AL, Austin, TX",Huge,Mi,Part-time,"AWS,Power BI,",2,4,2
82,Junior Data Analyst,95000,"San Francisco, CA",Startup,Mi,Part-time,"Google Cloud,",2,1,2
83,Data Analyst II,0,"London, UK",Unknown,Mi,Full-time,", R, Azure, SQL, Excel",2,0,1
84,Data Analytics Specialist,0,"London, UK",Small,Sr,Part-time,",SQL",3,0,2
85,Product Data Analyst,95000,"US, Huntsville,AL",Medium,Jr,Regular,"Python, SQL, Google Cloud, R",1,2,3
86,Jr. Data Analyst,50000,"Austin, TX, US, Anywhere",Large,None,Full-time,0,3,1,
87,Sr. Data Analyst,14000000,"Huntsville,AL, Houston,TX",Large,Jr,Regular,"Tableau, Python",1,3,3
88,Jr. Data Analyst,0,"Austin, TX, Dallas, TX",Startup,None,Part-time,"Python , SQL , Excel , Google Cloud , AWS",0,1,2
89,Jr. Data Analyst,0,"New York, NY",Large,Sr,Contract,"Excel,",3,3,4
90,Senior Data Analyst,110000,Remote,Medium,Sr,Freelance,"Tableau, R, Power BI, Azure",3,2,6
91,Product Data Analyst,90000,"US, San Francisco, CA, Remote",Large,Sr,Part-time,"Excel ,",3,3,2
92,Data Analyst II,70000,"Austin, TX",Large,Jr,Full-time,"SQL ,  , Excel , AWS",1,3,1
93,Marketing Data Analyst,0,"San Francisco, CA",Startup,Jr,Contract,"Python, R",1,1,4
94,Product Data Analyst,8090000,Anywhere,Startup,Jr,Freelance,"R , Power BI , Google Cloud",1,1,6
95,Product Data Analyst,95000,"New York, NY, Huntsville,AL, Austin, TX",Huge,Mi,Temporary,"Power BI, SQL, Google Cloud, Azure, Tableau",2,4,5
96,DATA ANALYST,0,"San Francisco, CA, Huntsville,AL, US",Large,Sr,Part-time,"R,",3,3,2
97,Data Analyst - Remote,65000,"Dallas, TX, San Francisco, CA, Austin, TX",Small,Mi,Part-time,"SQL,",2,0,2
98,Product Data Analyst,0,"Remote, Huntsville,AL",Small,Mi,Contract,"Power BI , SQL , Tableau",2,0,4
99,Sr. Data Analyst,95000,"US, Anywhere, Dallas, TX",Large,Pr,Contract,"R, Excel, SQL, Python",4,3,4
100,BI Analyst,0,"Houston,TX",Huge,Jr,Part-time,"Python,Power BI,R",1,4,2
101,Marketing Data Analyst,0,"New York, NY",Small,Jr,Full-time,",Excel,R,Azure",1,0,1
102,Senior Data Analyst,50,"London, UK",Huge,Pr,Regular,"Excel, SQL, R, Tableau",4,4,3
103,Sr. Data Analyst,14000000,"Anywhere, Huntsville,AL",Medium,Jr,Temporary,", SQL , Azure , Tableau , Power BI",1,2,5
104,Data Analytics Specialist,95000,"US, Houston,TX, Anywhere",Medium,Sr,Contract,"Python , Azure",3,2,4
105,Junior Data Analyst,50,"Houston,TX",Unknown,Mi,Contract,"Tableau, Google Cloud",2,0,4
106,Data Analyst II,120000,"Huntsville,AL",Medium,Mi,Freelance,"Tableau,Power BI,Azure",2,2,6
107,Product Data Analyst,0,"Anywhere, Austin, TX, US",Large,Mi,Temporary,"SQL, , AWS",2,3,5
108,Marketing Data Analyst,50000,"Anywhere, Houston,TX",Huge,Mi,Contract,"R, , SQL",2,4,4
109,BI Analyst,0,"San Francisco, CA",Medium,Jr,Full-time,"Python,Google Cloud",1,2,1
110,Senior Data Analyst,120000,"US, London, UK",Unknown,Jr,Freelance,"AWS, Excel, Power BI",1,0,6
111,Product Data Analyst,65000,"US, Dallas, TX",Small,Mi,Full-time,"Excel,",2,0,1
112,Jr. Data Analyst,0,"New York, NY, Huntsville,AL",Huge,Jr,Temporary,"Python , SQL",1,4,5
113,Data Analyst!!!,50000,"Dallas, TX, London, UK, US",Unknown,Jr,Regular,"SQL,R,Tableau,Azure",1,0,3
114,Data Analyst!!!,95000,"Houston,TX, New York, NY",Unknown,Jr,Freelance,"Tableau, SQL, Excel, Azure",1,0,6
115,Data Analyst,120000,"Anywhere, Huntsville,AL, US",Small,Jr,Temporary,", SQL, Power BI",1,0,5
116,Senior Data Analyst,90000,"Austin, TX",Huge,Sr,Full-time,"R, Azure, Google Cloud, Excel, Power BI",3,4,1
117,Data Analyst,0,"Huntsville,AL, Remote",Large,Sr,Contract,"Power BI, Excel, AWS, SQL, Python",3,3,4
118,Data Analyst!!!,14000000,"Houston,TX",Large,Jr,Temporary,"SQL, Excel, Google Cloud",1,3,5
119,Jr. Data Analyst,8090000,"Remote, Austin, TX",Unknown,Jr,Contract,"Google Cloud, , SQL, R",1,0,4
120,Junior Data Analyst,50000,"Austin, TX, Huntsville,AL, Remote",Startup,Jr,Temporary,"Python, R",1,1,5
121,Data Analyst II,70000,"Austin, TX",Unknown,Sr,Freelance,"Excel , Tableau",3,0,6
122,DATA ANALYST,0,"Remote, US",Huge,Sr,Full-time,"Python,R,",3,4,1
123,Senior Data Analyst,0,"Austin, TX",Medium,Sr,Part-time,"R, Python",3,2,2
124,Data Analyst - Remote,65000,"Remote, Houston,TX, US",Huge,Mi,Contract,"Tableau, Azure, R, Excel, Power BI",2,4,4
125,Marketing Data Analyst,70000,"Houston,TX, US",Startup,Sr,Contract,", Google Cloud , Azure , Python",3,1,4
126,Jr. Data Analyst,95000,"Remote, San Francisco, CA",Huge,Jr,Contract,"SQL, R",1,4,4
127,Senior Data Analyst,0,"Dallas, TX",Startup,Sr,Full-time,"Python,Azure,AWS",3,1,1
128,Product Data Analyst,95000,"San Francisco, CA, Anywhere",Medium,Sr,Full-time,"Excel, Azure, Power BI, , AWS",3,2,1
129,Data Analytics Specialist,0,"Anywhere, US, Huntsville,AL",Large,None,Temporary,"Excel, Google Cloud,",0,3,5
130,Junior Data Analyst,95000,"London, UK",Huge,Jr,Part-time,"Azure , Excel , Tableau , Python",1,4,2
131,Product Data Analyst,70000,"Dallas, TX",Startup,Jr,Contract,"Power BI ,",1,1,4
132,Data Analytics Specialist,110000,"Houston,TX",Unknown,Jr,Full-time,"Azure , Python ,",1,0,1
133,Sr. Data Analyst,14000000,"Dallas, TX",Unknown,Jr,Regular,"SQL, Excel,",1,0,3
134,Data Analyst II,0,US,Huge,Pr,Full-time,"Power BI,Excel",4,4,1
135,Sr. Data Analyst,50000,"Dallas, TX, Anywhere",Large,Sr,Part-time,"Google Cloud, R, Excel, Azure, SQL",3,3,2
136,Senior Data Analyst,65000,"New York, NY, Remote, San Francisco, CA",Unknown,None,Contract,"Azure,Python,AWS",0,0,4
137,Marketing Data Analyst,50,"New York, NY",Medium,Jr,Temporary,"Tableau, SQL, Azure, Excel, R",1,2,5
138,BI Analyst,90000,"Remote, London, UK",Small,Jr,Full-time,"Google Cloud,R,AWS,Power BI,SQL",1,0,1
139,BI Analyst,90000,"US, Anywhere",Unknown,Sr,Contract,"SQL, Excel",3,0,4
140,Data Analyst II,0,"Anywhere, New York, NY",Medium,Jr,Contract,"Google Cloud , Power BI",1,2,4
141,Marketing Data Analyst,95000,"San Francisco, CA, Dallas, TX",Startup,Jr,Part-time,1,1,2,
142,Data Analyst - Remote,95000,US,Unknown,Sr,Temporary,"Python,SQL,Power BI",3,0,5
143,Junior Data Analyst,0,"San Francisco, CA, Houston,TX",Small,Jr,Contract,"Python,AWS,Azure,",1,0,4
144,Data Analyst - Remote,70000,"Dallas, TX, Remote",Large,Sr,Full-time,"Python, AWS, Google Cloud",3,3,1
145,Junior Data Analyst,120000,"Austin, TX, New York, NY",Startup,Jr,Temporary,"AWS, , Google Cloud, Azure",1,1,5
146,Jr. Data Analyst,8090000,Remote,Huge,Jr,Temporary,"Python, Azure, AWS",1,4,5
147,Senior Data Analyst,95000,"Anywhere, Remote",Medium,Jr,Full-time,"Power BI, , SQL, Tableau",1,2,1
148,Sr. Data Analyst,65000,"New York, NY, Remote, Anywhere",Medium,Mi,Part-time,", Tableau, Azure, Power BI",2,2,2
149,BI Analyst,50,"San Francisco, CA, Houston,TX, Remote",Large,Jr,Contract,"Excel, Google Cloud, Tableau, Python, AWS",1,3,4
150,Data Analytics Specialist,14000000,"Austin, TX, US",Large,Mi,Contract,"Python, Power BI",2,3,4
151,DATA ANALYST,50,"Dallas, TX, New York, NY",Medium,Jr,Temporary,"R,Azure,",1,2,5
152,Data Analyst!!!,90000,"Houston,TX, Huntsville,AL, San Francisco, CA",Startup,Mi,Full-time,"Azure,Google Cloud",2,1,1
153,Data Analyst,14000000,"Anywhere, US",Unknown,Mi,Part-time,"Excel, Tableau, Power BI, AWS, R",2,0,2
154,DATA ANALYST,90000,"London, UK",Huge,Jr,Full-time,"Power BI,Tableau,Azure,Excel",1,4,1
155,Sr. Data Analyst,65000,Remote,Medium,Jr,Temporary,"Google Cloud, Excel, R,",1,2,5
156,Product Data Analyst,50,Remote,Startup,Jr,Part-time,"Power BI, Tableau, SQL",1,1,2
157,Sr. Data Analyst,0,"Austin, TX, London, UK, New York, NY",Medium,Jr,Full-time,"Azure,Google Cloud,AWS,SQL",1,2,1
158,Data Analyst!!!,110000,US,Medium,None,Contract,"AWS , Power BI , Google Cloud , Excel , Tableau",0,2,4
159,Product Data Analyst,14000000,"San Francisco, CA, Austin, TX, Remote",Huge,Mi,Part-time,"R, Tableau, , Python",2,4,2
160,Junior Data Analyst,0,"New York, NY",Large,Mi,Part-time,"AWS, , Azure, Google Cloud",2,3,2
161,Data Analyst - Remote,65000,"Anywhere, Dallas, TX, London, UK",Medium,Mi,Temporary,"Python, Excel, R",2,2,5
162,DATA ANALYST,120000,Remote,Startup,Sr,Regular,",R",3,1,3
163,Junior Data Analyst,95000,Anywhere,Medium,Mi,Contract,"R , Excel",2,2,4
164,Junior Data Analyst,120000,"Huntsville,AL",Startup,Sr,Contract,", AWS, Azure, Excel",3,1,4
165,Data Analyst - Remote,14000000,"New York, NY, Huntsville,AL",Small,Jr,Part-time,"SQL, Google Cloud, Power BI",1,0,2
166,Data Analytics Specialist,50,"Dallas, TX, Houston,TX",Small,Jr,Part-time,"Power BI, Excel",1,0,2
167,BI Analyst,0,"Dallas, TX",Huge,Mi,Part-time,"Power BI, Azure",2,4,2
168,Data Analyst II,50,"Remote, London, UK",Small,Jr,Contract,"AWS,Python,Power BI",1,0,4
169,BI Analyst,95000,"London, UK, Anywhere, Remote",Huge,None,Contract,"Google Cloud,AWS",0,4,4
170,Data Analyst,65000,"Austin, TX",Small,Sr,Freelance,"SQL,",3,0,6
171,Product Data Analyst,14000000,"Dallas, TX, US",Huge,Jr,Full-time,"Azure, R, Excel, Python, SQL",1,4,1
172,Marketing Data Analyst,90000,Anywhere,Startup,Sr,Regular,"Azure, Power BI",3,1,3
173,DATA ANALYST,90000,"Anywhere, Houston,TX, US",Small,None,Temporary,"Excel,AWS,Google Cloud,",0,0,5
174,Product Data Analyst,90000,"Anywhere, Remote, Dallas, TX",Large,Pr,Contract,"SQL,Python,Google Cloud,Azure,R",4,3,4
175,BI Analyst,95000,"London, UK, Huntsville,AL, Anywhere",Unknown,None,Temporary,"Azure,AWS",0,0,5
176,Data Analyst!!!,0,"Huntsville,AL, Houston,TX",Huge,Mi,Contract,"Google Cloud,Azure",2,4,4
177,Data Analyst II,95000,"San Francisco, CA",Large,Jr,Part-time,"AWS, Tableau, Azure, Google Cloud",1,3,2
178,Data Analyst!!!,0,"Dallas, TX, Anywhere, US",Medium,Jr,Temporary,"R , Excel",1,2,5
179,Product Data Analyst,95000,"Houston,TX, London, UK",Startup,Sr,Temporary,"R, Azure, SQL, Google Cloud",3,1,5
180,Jr. Data Analyst,95000,"New York, NY, Houston,TX",Large,Mi,Regular,"Excel, Python, Power BI",2,3,3
181,DATA ANALYST,0,"Dallas, TX, New York, NY",Small,Mi,Regular,"Python, AWS, SQL",2,0,3
182,Data Analyst II,0,"London, UK, Remote, Huntsville,AL",Startup,Jr,Full-time,"Tableau,AWS",1,1,1
183,Junior Data Analyst,70000,"San Francisco, CA, Houston,TX, Austin, TX",Medium,Jr,Contract,"Excel , SQL , Tableau , Azure , Python",1,2,4
184,Sr. Data Analyst,14000000,"Houston,TX",Medium,Mi,Full-time,"Azure, AWS, Excel",2,2,1
185,Data Analytics Specialist,0,"Anywhere, Houston,TX, Dallas, TX",Medium,Mi,Full-time,"Tableau, R, Excel, Azure, Google Cloud",2,2,1
186,Data Analyst,0,"US, London, UK, Austin, TX",Small,Sr,Full-time,"Tableau,Excel,Azure",3,0,1
187,Marketing Data Analyst,95000,"London, UK, San Francisco, CA, Houston,TX",Startup,Jr,Contract,"Tableau,Excel,SQL,Google Cloud",1,1,4
188,Marketing Data Analyst,0,"San Francisco, CA, New York, NY, Dallas, TX",Large,Mi,Regular,"R, Tableau, Excel",2,3,3
189,Data Analyst II,95000,"New York, NY",Startup,Jr,Contract,"SQL, Google Cloud, AWS,",1,1,4
190,BI Analyst,70000,"San Francisco, CA",Startup,Pr,Full-time,"AWS,Google Cloud,Python",4,1,1
191,Data Analyst!!!,50,"Remote, San Francisco, CA",Huge,Sr,Full-time,"AWS, SQL, Python",3,4,1
192,Sr. Data Analyst,0,"Huntsville,AL",Large,Jr,Regular,"R,Azure",1,3,3
193,BI Analyst,120000,"Austin, TX, Anywhere, US",Large,Sr,Freelance,"Python , Google Cloud , AWS",3,3,6
194,DATA ANALYST,8090000,"London, UK",Huge,Jr,Full-time,"AWS , Google Cloud , Tableau , Excel",1,4,1
195,Product Data Analyst,0,"Huntsville,AL",Startup,Jr,Temporary,"Tableau,Excel,Azure",1,1,5
196,Data Analyst II,70000,"San Francisco, CA, New York, NY, Remote",Small,Mi,Contract,",Power BI",2,0,4
197,Product Data Analyst,95000,"Anywhere, San Francisco, CA, Huntsville,AL",Startup,Jr,Part-time,"Excel, , R",1,1,2
198,BI Analyst,65000,"New York, NY, London, UK, Austin, TX",Huge,Jr,Full-time,"Tableau,R,SQL,",1,4,1
199,Data Analyst - Remote,50000,"New York, NY, US",Large,None,Contract,"Tableau, Python, Azure, Power BI, SQL",0,3,4
200,Senior Data Analyst,90000,"New York, NY, San Francisco, CA, US",Huge,Pr,Full-time,"Python, Tableau, SQL, Azure",4,4,1
201,Sr. Data Analyst,95000,Remote,Medium,Jr,Full-time,"Python, Azure, R,",1,2,1
202,Jr. Data Analyst,70000,"San Francisco, CA, Huntsville,AL, Remote",Medium,Jr,Contract,"Excel, AWS, SQL, Power BI,",1,2,4
203,Data Analyst!!!,14000000,"Austin, TX, Remote, Houston,TX",Huge,Jr,Contract,"R,AWS,Python,Excel,",1,4,4
204,Sr. Data Analyst,95000,"Remote, Dallas, TX, Austin, TX",Startup,Jr,Full-time,1,1,1,
205,BI Analyst,50000,"San Francisco, CA, London, UK, Anywhere",Huge,Sr,Regular,"Excel, Python",3,4,3
206,Data Analyst!!!,90000,"Austin, TX, San Francisco, CA, Dallas, TX",Large,Mi,Freelance,"Python, , R, Excel",2,3,6
207,BI Analyst,120000,"Houston,TX",Startup,Jr,Part-time,",AWS",1,1,2
208,Data Analyst,65000,"Houston,TX, London, UK",Large,Jr,Regular,"Azure, Google Cloud, R, AWS, Python",1,3,3
209,Data Analyst - Remote,70000,"Dallas, TX, Houston,TX, Anywhere",Large,Jr,Part-time,1,3,2,
210,Jr. Data Analyst,0,"London, UK, Houston,TX",Small,None,Full-time,"Excel, AWS, , R",0,0,1
211,Data Analytics Specialist,0,"London, UK, Austin, TX",Large,Jr,Temporary,"Python, Excel, , Google Cloud, Azure",1,3,5
212,Data Analyst,8090000,"Austin, TX, London, UK, Remote",Large,None,Regular,", AWS, Google Cloud, Power BI, Azure",0,3,3
213,DATA ANALYST,95000,"Houston,TX, Remote, Austin, TX",Large,Sr,Temporary,3,3,5,
214,Jr. Data Analyst,8090000,"US, London, UK, Anywhere",Large,Mi,Full-time,"Tableau, Python, Excel, , AWS",2,3,1
215,Data Analyst!!!,65000,"Austin, TX, New York, NY",Startup,Sr,Regular,"Excel , Google Cloud , AWS",3,1,3
216,Data Analyst II,8090000,"New York, NY, US, Huntsville,AL",Startup,Jr,Contract,", Azure, Google Cloud, R",1,1,4
217,Senior Data Analyst,95000,"Dallas, TX, US, New York, NY",Unknown,Jr,Full-time,", Power BI, Tableau",1,0,1
218,Data Analyst,90000,"Remote, Huntsville,AL",Large,Mi,Contract,"R , Power BI , Tableau , SQL , Azure",2,3,4
219,Senior Data Analyst,95000,"New York, NY, US",Unknown,Jr,Regular,"Excel, Tableau, Python, Google Cloud",1,0,3
220,Data Analyst - Remote,65000,"Houston,TX, Huntsville,AL, Dallas, TX",Medium,Jr,Temporary,"SQL, R, Google Cloud, AWS",1,2,5
221,DATA ANALYST,0,"New York, NY",Startup,Mi,Regular,"Power BI, Google Cloud, SQL, R, Azure",2,1,3
222,DATA ANALYST,95000,"London, UK, Dallas, TX",Huge,Jr,Contract,"AWS, Power BI, Azure, Google Cloud, R",1,4,4
223,Marketing Data Analyst,14000000,US,Startup,Jr,Full-time,", Google Cloud, Power BI, SQL, Tableau",1,1,1
224,Data Analytics Specialist,0,"Huntsville,AL, Remote",Startup,Sr,Temporary,"Power BI, R",3,1,5
225,DATA ANALYST,70000,US,Startup,Pr,Regular,"Tableau,Google Cloud,SQL",4,1,3
226,Data Analyst!!!,0,"San Francisco, CA, Austin, TX",Unknown,Jr,Contract,", Excel, Google Cloud, Tableau, SQL",1,0,4
227,BI Analyst,0,"Remote, San Francisco, CA, London, UK",Startup,Sr,Temporary,"Excel, AWS, Tableau,",3,1,5
228,Data Analyst!!!,50,"Dallas, TX, Anywhere",Small,Sr,Freelance,"SQL,Excel,R,Azure,",3,0,6
229,Sr. Data Analyst,65000,"Huntsville,AL, San Francisco, CA, US",Medium,Jr,Freelance,"AWS, Power BI, Tableau",1,2,6
230,Sr. Data Analyst,95000,"Huntsville,AL",Huge,Jr,Contract,", AWS , R , Excel",1,4,4
231,Product Data Analyst,65000,"San Francisco, CA, New York, NY",Startup,None,Part-time,"Power BI, , Tableau, Excel",0,1,2
