job_title,salary,location,remote_location,company_size,experience_level,employment_type,skills,experience_level_value,company_size_value,employment_type_value,job_title_value,latitude,longitude,col_index,cost_tier
Data Analyst,70000,"Las Vegas, NV",Partial,Large,Sr,Full-time,"Tableau, Excel, AWS, Azure, Python",3,3,6,4,36.167426,-115.148413,71.3,71.3
Junior Data Analyst,95000,"Columbus, OH",1,Huge,Jr,Temporary,", Google Cloud , Python , Azure",1,4,2,1,39.96226,-83.000707,73.5,73.5
Product Data Analyst,95000,"Philadelphia, PA",Yes,Startup,Sr,Contract,"Excel ,  , SQL",3,1,3,3,39.952724,-75.163526,81.0,81.0
Junior Data Analyst,50000,"Huntsville, AL",False,Large,Jr,Freelance,"AWS, SQL, Tableau, Python",1,3,1,1,34.729847,-86.585901,60.5,60.5
Senior Data Analyst,14000000,"Phoenix, AZ",1,Huge,Mi,Part-time,",Google Cloud,Azure,Excel,R",2,4,5,6,33.448437,-112.074141,76.1,76.1
Senior Data Analyst,110000,"Houston, TX",Temporarily Remote,Startup,Jr,Contract,"Python,R,Tableau,SQL",1,1,3,6,29.758938,-95.367697,64.9,64.9
Product Data Analyst,90000,"Denver, CO",0,Medium,Jr,Full-time,",Python,SQL",1,2,6,3,39.739236,-104.984862,78.7,78.7
Data Analyst II,70000,"Atlanta, GA",No,Small,Jr,Freelance,"SQL, Python, Power BI, Azure",1,0,1,5,33.754466,-84.389815,76.8,76.8
Product Data Analyst,8090000,"Santa Fe, NM",False,Unknown,Jr,Regular,",Google Cloud,Python",1,0,4,3,35.68761,-105.938456,67.0,67.0
Product Data Analyst,95000,"Fargo, ND",Hybrid,Large,Jr,Full-time,"Excel,",1,3,6,3,46.877229,-96.789821,58.0,58.0
Data Analyst,65000,"Nashville, TN",0,Large,Sr,Freelance,"Python, AWS",3,3,1,4,36.162277,-86.774298,74.0,74.0
Senior Data Analyst,95000,"Albuquerque, NM",Yes,Startup,Jr,Full-time,"Tableau, , Azure, SQL, Excel",1,1,6,6,35.084103,-106.650985,63.4,63.4
Senior Data Analyst,14000000,"Columbus, OH",0,Huge,Sr,Temporary,", R",3,4,2,6,39.96226,-83.000707,73.5,73.5
Data Analytics Specialist,95000,"Louisville, KY",False,Unknown,None,Regular,"SQL,Tableau,R",0,0,4,2,38.254238,-85.759407,70.0,70.0
Data Analyst II,120000,"Detroit, MI",No,Huge,Jr,Part-time,", Google Cloud, SQL",1,4,5,5,42.331551,-83.04664,68.1,68.1
Marketing Data Analyst,50000,"Santa Fe, NM",Partial,Large,Sr,Part-time,"Power BI,Excel,Tableau,AWS,SQL",3,3,5,3,35.68761,-105.938456,67.0,67.0
Senior Data Analyst,120000,"Philadelphia, PA",False,Startup,Jr,Contract,"Google Cloud, Tableau,",1,1,3,6,39.952724,-75.163526,81.0,81.0
Product Data Analyst,65000,"Dallas, TX",Hybrid,Huge,Jr,Contract,"Google Cloud, Python",1,4,3,3,32.776272,-96.796856,75.0,75.0
Data Analyst,50000,"Detroit, MI",No,Startup,Sr,Contract,"R , Power BI , Excel , AWS",3,1,3,4,42.331551,-83.04664,68.1,68.1
Data Analyst,95000,"Detroit, MI",1,Startup,Jr,Freelance,,1,1,1,4,42.331551,-83.04664,68.1,68.1
Data Analyst,120000,"Austin, TX",Temporarily Remote,Large,Jr,Full-time,"SQL, Tableau, , Google Cloud",1,3,6,4,30.271129,-97.7437,71.1,71.1
Senior Data Analyst,90000,"Dallas, TX",True,Large,Mi,Full-time,"Google Cloud, , R, Tableau, Excel",2,3,6,6,32.776272,-96.796856,75.0,75.0
Data Analyst,14000000,"Atlanta, GA",Partial,Huge,None,Freelance,"Excel, Power BI",0,4,1,4,33.754466,-84.389815,76.8,76.8
Junior Data Analyst,8090000,"Columbus, OH",0,Unknown,Mi,Part-time,"Python, Azure",2,0,5,1,39.96226,-83.000707,73.5,73.5
Junior Data Analyst,50000,"Orlando, FL",Partial,Startup,Jr,Freelance,,1,1,1,1,28.542122,-81.379045,72.2,72.2
Data Analyst II,70000,"Columbus, OH",False,Startup,Pr,Contract,"Azure,Tableau,Python,AWS",4,1,3,5,39.96226,-83.000707,73.5,73.5
Data Analyst,65000,"Fort Collins, CO",0,Medium,Jr,Full-time,"SQL, Google Cloud, Python, Azure",1,2,6,4,40.587178,-105.077011,66.1,66.1
Marketing Data Analyst,70000,"San Francisco, CA",1,Small,Sr,Part-time,"SQL, Google Cloud, Tableau",3,0,5,3,37.787936,-122.40752,94.0,94.0
Junior Data Analyst,95000,"Oklahoma City, OK",Hybrid,Unknown,Mi,Temporary,,2,0,2,1,35.472989,-97.517054,70.0,70.0
Product Data Analyst,95000,"Fort Collins, CO",0,Small,Jr,Full-time,"SQL, , AWS",1,0,6,3,40.587178,-105.077011,66.1,66.1
Junior Data Analyst,95000,"Detroit, MI",Yes,Medium,Jr,Part-time,"R , Tableau",1,2,5,1,42.331551,-83.04664,68.1,68.1
Product Data Analyst,70000,"Las Vegas, NV",Temporarily Remote,Large,Jr,Full-time,"Excel, Google Cloud, Power BI, AWS, Tableau",1,3,6,3,36.167426,-115.148413,71.3,71.3
Data Analytics Specialist,110000,"Columbus, OH",1,Startup,Jr,Regular,",Python,Tableau,AWS",1,1,4,2,39.96226,-83.000707,73.5,73.5
Senior Data Analyst,14000000,"Huntsville, AL",Partial,Huge,Pr,Full-time,"SQL, Power BI",4,4,6,6,34.729847,-86.585901,60.5,60.5
Senior Data Analyst,50000,"Salt Lake City, UT",Hybrid,Startup,Mi,Freelance,"Python, Power BI, SQL, Google Cloud, R",2,1,1,6,40.75962,-111.886797,65.7,65.7
Senior Data Analyst,65000,"Oklahoma City, OK",Partial,Startup,Jr,Contract,", Power BI",1,1,3,6,35.472989,-97.517054,70.0,70.0
BI Analyst,90000,"Atlanta, GA",Temporarily Remote,Unknown,Jr,Contract,", Power BI",1,0,3,3,33.754466,-84.389815,76.8,76.8
BI Analyst,90000,"Jackson, MS",No,Unknown,Mi,Part-time,", Azure, Google Cloud, R, Python",2,0,5,3,32.299869,-90.183041,68.0,68.0
Marketing Data Analyst,95000,"Nashville, TN",Partial,Medium,Jr,Contract,"Python, Excel, Tableau, Google Cloud, Azure",1,2,3,3,36.162277,-86.774298,74.0,74.0
Data Analyst,95000,"Orlando, FL",0,Medium,Jr,Part-time,"Tableau, Excel, R",1,2,5,4,28.542122,-81.379045,72.2,72.2
Data Analyst,70000,"Chicago, IL",Partial,Unknown,Jr,Temporary,"Excel, AWS, , SQL",1,0,2,4,41.875562,-87.624421,75.5,75.5
Junior Data Analyst,120000,"Salt Lake City, UT",False,Startup,Mi,Full-time,"Python, , AWS",2,1,6,1,40.75962,-111.886797,65.7,65.7
Junior Data Analyst,8090000,"Fort Collins, CO",Hybrid,Medium,Jr,Temporary,"Power BI,Python",1,2,2,1,40.587178,-105.077011,66.1,66.1
Senior Data Analyst,95000,"Denver, CO",Hybrid,Large,Jr,Full-time,"R,Azure,Google Cloud",1,3,6,6,39.739236,-104.984862,78.7,78.7
Senior Data Analyst,65000,"Fort Collins, CO",False,Unknown,Jr,Part-time,"SQL, Azure, Power BI, R, Google Cloud",1,0,5,6,40.587178,-105.077011,66.1,66.1
Data Analytics Specialist,14000000,"Las Vegas, NV",Temporarily Remote,Large,Jr,Full-time,", Google Cloud , R",1,3,6,2,36.167426,-115.148413,71.3,71.3
Data Analyst,90000,"Huntsville, AL",False,Huge,Pr,Full-time,"Python, Excel, Tableau, Google Cloud, Power BI",4,4,6,4,34.729847,-86.585901,60.5,60.5
Data Analyst,14000000,"New York, NY",Yes,Large,Mi,Temporary,"Excel , Azure",2,3,2,4,40.712728,-74.006015,100.0,100.0
Data Analyst,90000,"New York, NY",Temporarily Remote,Unknown,Mi,Freelance,", AWS , Excel",2,0,1,4,40.712728,-74.006015,100.0,100.0
Senior Data Analyst,65000,"Fort Collins, CO",No,Startup,Mi,Full-time,"SQL,Power BI,Azure,Excel",2,1,6,6,40.587178,-105.077011,66.1,66.1
Data Analyst,110000,"Huntsville, AL",No,Small,Jr,Temporary,"Excel , Google Cloud , Power BI",1,0,2,4,34.729847,-86.585901,60.5,60.5
Product Data Analyst,14000000,"Las Vegas, NV",Temporarily Remote,Startup,Jr,Contract,"R, AWS,",1,1,3,3,36.167426,-115.148413,71.3,71.3
Data Analyst,65000,"Fort Collins, CO",0,Unknown,Mi,Temporary,"AWS, Azure, Tableau, R, Excel",2,0,2,4,40.587178,-105.077011,66.1,66.1
Data Analyst,120000,"Chicago, IL",No,Startup,None,Regular,"Excel,Python,Google Cloud,SQL",0,1,4,4,41.875562,-87.624421,75.5,75.5
Junior Data Analyst,95000,"Austin, TX",Partial,Huge,Jr,Contract,"Excel, R, Tableau",1,4,3,1,30.271129,-97.7437,71.1,71.1
Junior Data Analyst,120000,"Orlando, FL",False,Startup,Jr,Part-time,"SQL,Azure,Tableau",1,1,5,1,28.542122,-81.379045,72.2,72.2
Data Analyst,14000000,"Las Vegas, NV",1,Unknown,Jr,Regular,",SQL,AWS",1,0,4,4,36.167426,-115.148413,71.3,71.3
BI Analyst,95000,"Norfolk, VA",Yes,Large,Jr,Regular,"AWS, SQL, R, Python,",1,3,4,3,36.84937,-76.289954,,2.0
Data Analyst,65000,"Jackson, MS",No,Large,Jr,Freelance,"AWS, R",1,3,1,4,32.299869,-90.183041,68.0,68.0
Product Data Analyst,14000000,"Jackson, MS",Partial,Startup,Jr,Full-time,"Power BI, Google Cloud, Excel, Azure",1,1,6,3,32.299869,-90.183041,68.0,68.0
Marketing Data Analyst,90000,"Las Vegas, NV",Hybrid,Startup,Jr,Temporary,"Tableau, Power BI",1,1,2,3,36.167426,-115.148413,71.3,71.3
Data Analyst,90000,"Oklahoma City, OK",Hybrid,Huge,Jr,Part-time,"Python, Google Cloud, Azure, R, SQL",1,4,5,4,35.472989,-97.517054,70.0,70.0
Product Data Analyst,90000,"Dallas, TX",0,Large,Mi,Part-time,"Azure,",2,3,5,3,32.776272,-96.796856,75.0,75.0
BI Analyst,95000,"Columbus, OH",Yes,Medium,Jr,Full-time,"Python, Power BI,",1,2,6,3,39.96226,-83.000707,73.5,73.5
Data Analyst II,95000,"Detroit, MI",0,Large,Jr,Full-time,"Power BI,Azure,AWS,R",1,3,6,5,42.331551,-83.04664,68.1,68.1
Product Data Analyst,95000,"Jackson, MS",1,Large,Pr,Full-time,"R,",4,3,6,3,32.299869,-90.183041,68.0,68.0
Junior Data Analyst,95000,"Louisville, KY",Partial,Huge,Jr,Full-time,"Python,",1,4,6,1,38.254238,-85.759407,70.0,70.0
Junior Data Analyst,70000,"New York, NY",1,Large,Jr,Contract,"Tableau,Azure",1,3,3,1,40.712728,-74.006015,100.0,100.0
Senior Data Analyst,14000000,"Austin, TX",Hybrid,Huge,Jr,Contract,"Tableau,AWS,Excel,SQL",1,4,3,6,30.271129,-97.7437,71.1,71.1
Marketing Data Analyst,95000,"Oklahoma City, OK",No,Large,Jr,Part-time,"Power BI, Azure, AWS, Tableau, Google Cloud",1,3,5,3,35.472989,-97.517054,70.0,70.0
Data Analyst II,95000,"Austin, TX",No,Small,Jr,Temporary,"R,Azure,SQL,Power BI,Tableau",1,0,2,5,30.271129,-97.7437,71.1,71.1
BI Analyst,70000,"Indianapolis, IN",0,Huge,Sr,Contract,"Azure, SQL, AWS",3,4,3,3,39.768333,-86.15835,69.7,69.7
BI Analyst,120000,"Jackson, MS",Yes,Large,Sr,Full-time,"SQL,AWS",3,3,6,3,32.299869,-90.183041,68.0,68.0
Data Analyst,8090000,"Columbus, OH",0,Medium,Jr,Contract,"Power BI , Excel , Google Cloud",1,2,3,4,39.96226,-83.000707,73.5,73.5
Data Analyst II,70000,"Dallas, TX",Yes,Startup,Jr,Full-time,,1,1,6,5,32.776272,-96.796856,75.0,75.0
Product Data Analyst,95000,"San Francisco, CA",Hybrid,Medium,Mi,Full-time,"Python,R,AWS",2,2,6,3,37.787936,-122.40752,94.0,94.0
BI Analyst,65000,"Fort Collins, CO",Partial,Unknown,None,Part-time,"SQL,Azure,Google Cloud,Tableau",0,0,5,3,40.587178,-105.077011,66.1,66.1
Data Analyst,50000,"Indianapolis, IN",Partial,Large,Jr,Full-time,"Azure,Excel,Tableau,AWS,SQL",1,3,6,4,39.768333,-86.15835,69.7,69.7
Senior Data Analyst,90000,"Louisville, KY",0,Startup,Mi,Contract,"Google Cloud,SQL,Power BI,Tableau",2,1,3,6,38.254238,-85.759407,70.0,70.0
Senior Data Analyst,95000,"San Francisco, CA",Partial,Unknown,Sr,Full-time,"Excel, AWS, Python, Google Cloud",3,0,6,6,37.787936,-122.40752,94.0,94.0
Junior Data Analyst,70000,"Nashville, TN",False,Startup,Mi,Regular,"Azure , Power BI , Tableau",2,1,4,1,36.162277,-86.774298,74.0,74.0
Data Analyst,14000000,"Fargo, ND",1,Startup,Sr,Temporary,"AWS, R,",3,1,2,4,46.877229,-96.789821,58.0,58.0
Senior Data Analyst,95000,"New Orleans, LA",0,Large,Mi,Part-time,"R, Power BI, Excel",2,3,5,6,29.956142,-90.073393,77.8,77.8
BI Analyst,50000,"Santa Fe, NM",False,Startup,Sr,Full-time,"Azure,R,Power BI",3,1,6,3,35.68761,-105.938456,67.0,67.0
Data Analyst,90000,"Atlanta, GA",No,Unknown,Jr,Regular,"SQL,AWS,Excel",1,0,4,4,33.754466,-84.389815,76.8,76.8
BI Analyst,120000,"Indianapolis, IN",Hybrid,Large,None,Contract,"R, Excel, Tableau, AWS, SQL",0,3,3,3,39.768333,-86.15835,69.7,69.7
Data Analyst,65000,"San Francisco, CA",Hybrid,Startup,Jr,Full-time,"Power BI , Azure , Google Cloud , R ,",1,1,6,4,37.787936,-122.40752,94.0,94.0
Data Analyst,8090000,"Phoenix, AZ",Yes,Huge,Jr,Regular,",AWS",1,4,4,4,33.448437,-112.074141,76.1,76.1
Data Analyst,95000,"Huntsville, AL",True,Medium,Sr,Freelance,"SQL,AWS,Tableau",3,2,1,4,34.729847,-86.585901,60.5,60.5
Junior Data Analyst,8090000,"Las Vegas, NV",Yes,Startup,Jr,Full-time,"Power BI,Tableau,R",1,1,6,1,36.167426,-115.148413,71.3,71.3
Data Analyst,65000,"Austin, TX",True,Startup,None,Full-time,,0,1,6,4,30.271129,-97.7437,71.1,71.1
Data Analyst II,8090000,"Las Vegas, NV",Partial,Small,Sr,Full-time,"Azure , Python",3,0,6,5,36.167426,-115.148413,71.3,71.3
Senior Data Analyst,95000,"Las Vegas, NV",Hybrid,Large,Mi,Regular,"Azure, Python, AWS, Excel",2,3,4,6,36.167426,-115.148413,71.3,71.3
Data Analyst,90000,"Salt Lake City, UT",True,Large,Pr,Part-time,"Power BI, , AWS, SQL",4,3,5,4,40.75962,-111.886797,65.7,65.7
Senior Data Analyst,95000,"Salt Lake City, UT",0,Large,Jr,Contract,"Python , Google Cloud , Tableau , Azure",1,3,3,6,40.75962,-111.886797,65.7,65.7
Data Analyst,65000,"Fargo, ND",Temporarily Remote,Large,Pr,Temporary,"Tableau , Python , Excel , Power BI",4,3,2,4,46.877229,-96.789821,58.0,58.0
Data Analyst,95000,"Houston, TX",No,Startup,Jr,Contract,"Power BI , R",1,1,3,4,29.758938,-95.367697,64.9,64.9
Marketing Data Analyst,14000000,"New York, NY",False,Startup,Jr,Contract,"Python, Power BI, Google Cloud, R,",1,1,3,3,40.712728,-74.006015,100.0,100.0
Data Analyst,70000,"Louisville, KY",Hybrid,Startup,Jr,Full-time,"Power BI,Excel,Python,AWS",1,1,6,4,38.254238,-85.759407,70.0,70.0
Senior Data Analyst,65000,"Oklahoma City, OK",No,Unknown,Mi,Contract,"Excel, Python, SQL",2,0,3,6,35.472989,-97.517054,70.0,70.0
Senior Data Analyst,95000,"Austin, TX",Hybrid,Huge,Jr,Contract,"SQL , Python",1,4,3,6,30.271129,-97.7437,71.1,71.1
Product Data Analyst,65000,"Detroit, MI",Hybrid,Unknown,Jr,Full-time,"Python,SQL,Azure,Power BI,R",1,0,6,3,42.331551,-83.04664,68.1,68.1
Data Analytics Specialist,50000,"Oklahoma City, OK",Partial,Large,Mi,Full-time,"AWS, Python, SQL, Power BI, Google Cloud",2,3,6,2,35.472989,-97.517054,70.0,70.0
BI Analyst,65000,"Las Vegas, NV",Partial,Large,None,Part-time,"Power BI, SQL",0,3,5,3,36.167426,-115.148413,71.3,71.3
Data Analyst II,50000,"Dallas, TX",Yes,Startup,Jr,Full-time,"Tableau , R , Power BI",1,1,6,5,32.776272,-96.796856,75.0,75.0
Junior Data Analyst,65000,"New York, NY",True,Huge,Jr,Full-time,"Python, R, SQL, Azure, Google Cloud",1,4,6,1,40.712728,-74.006015,100.0,100.0
Senior Data Analyst,95000,"Austin, TX",False,Startup,Pr,Full-time,"AWS, Power BI, Python, SQL,",4,1,6,6,30.271129,-97.7437,71.1,71.1
Data Analyst,95000,"Norfolk, VA",Yes,Large,None,Temporary,"Python, AWS, Power BI, Azure",0,3,2,4,36.84937,-76.289954,,2.0
Marketing Data Analyst,65000,"Santa Fe, NM",Yes,Large,Sr,Regular,"Azure , Excel , AWS , Power BI",3,3,4,3,35.68761,-105.938456,67.0,67.0
Marketing Data Analyst,120000,"Columbus, OH",0,Startup,Sr,Full-time,"Google Cloud , Azure",3,1,6,3,39.96226,-83.000707,73.5,73.5
Data Analyst II,14000000,"Oklahoma City, OK",0,Startup,Mi,Contract,"R,SQL",2,1,3,5,35.472989,-97.517054,70.0,70.0
Junior Data Analyst,14000000,"San Francisco, CA",Partial,Medium,Sr,Freelance,"Google Cloud, Python, , Tableau",3,2,1,1,37.787936,-122.40752,94.0,94.0
Product Data Analyst,95000,"Phoenix, AZ",False,Large,Jr,Temporary,"Google Cloud, Azure, Excel, Tableau",1,3,2,3,33.448437,-112.074141,76.1,76.1
Data Analytics Specialist,90000,"Columbus, OH",Partial,Startup,Sr,Full-time,"R, Azure, , SQL",3,1,6,2,39.96226,-83.000707,73.5,73.5
Data Analytics Specialist,110000,"Huntsville, AL",Partial,Large,Sr,Part-time,"Python , Azure",3,3,5,2,34.729847,-86.585901,60.5,60.5
Senior Data Analyst,65000,"Las Vegas, NV",True,Small,Jr,Regular,"R, Power BI, Excel, SQL",1,0,4,6,36.167426,-115.148413,71.3,71.3
Data Analyst,95000,"Phoenix, AZ",Yes,Medium,Mi,Freelance,"SQL, R, AWS, Google Cloud, Power BI",2,2,1,4,33.448437,-112.074141,76.1,76.1
Junior Data Analyst,65000,"Norfolk, VA",Temporarily Remote,Small,Sr,Contract,"R , Google Cloud , SQL",3,0,3,1,36.84937,-76.289954,,2.0
Data Analyst,65000,"Norfolk, VA",Yes,Medium,Pr,Part-time,"Python,AWS",4,2,5,4,36.84937,-76.289954,,2.0
Data Analyst,65000,"Dallas, TX",0,Small,Pr,Part-time,"Power BI, SQL, Google Cloud, Python, AWS",4,0,5,4,32.776272,-96.796856,75.0,75.0
